custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid
4505536,-85.996217,40.031043,1278362884,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0
4505537,-86.081469,40.02149,1144966627,1,3.0,159.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
4505538,-86.108776,40.084634,1329051186,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505539,-86.044213,40.044058,1278323853,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505540,-86.006412,39.975052,1297369616,2,16.0,848.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0
4505541,-86.013837,39.957835,1085793626,1,4.0,212.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505542,-86.022494,39.926419,1050330925,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505543,-86.01587,39.958451,1278455770,2,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0
4505544,-86.057858,39.901379,1279086911,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505560,-86.01173,40.04706,1278330197,1,3.0,159.0,2,2,1,0,0,0,1,0,0,A,0,0,1,0
4505561,-86.002844,40.015016,1278330459,2,16.0,848.0,2,4,1,1,1,0,1,0,0,A,0,0,1,0
4505562,-86.027592,40.047557,1341600276,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505563,-86.077812,40.003831,1297655749,2,16.0,848.0,1,4,1,1,1,0,1,0,0,A,0,0,1,0
4505564,-86.03574,39.926311,1278235852,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505565,-85.981364,39.928262,1197700513,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505566,-86.018323,39.944469,781656774,1,4.0,212.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0
4505567,-86.058805,39.901837,1279176710,1,6.0,318.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505568,-86.05403,39.938514,1278230948,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505569,-86.098362,39.909683,1278993154,1,8.0,424.0,2,2,1,0,0,0,1,0,0,A,0,0,1,0
4505570,-86.04734,39.895059,1279084316,1,2.0,106.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505571,-86.050214,39.910577,19500992,7,56.0,2968.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505572,-86.14057,39.870846,839141156,2,8.0,424.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0
4505590,-85.997183,40.039075,1067424049,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505591,-86.023004,40.04795,1185103845,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505592,-86.05391,40.04085,1278458324,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505593,-85.996804,39.983703,1220061109,1,2.0,106.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505594,-86.121641,40.014139,1205519087,1,2.0,106.0,1,1,1,0,0,0,0,0,0,E,0,0,1,0
4505595,-85.996168,40.003525,1220045467,1,10.0,530.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505596,-86.009294,39.927991,1197912905,1,8.0,424.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0
4505597,-86.043502,39.946026,1220132611,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505598,-86.06512,39.883932,125158546,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505609,-86.013682,40.045539,19490977,4,16.0,848.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0
4505610,-86.12511,40.073313,1278246022,1,6.0,318.0,2,1,1,0,0,0,0,0,0,E,0,0,1,0
4505611,-86.071475,39.956077,1278322284,1,3.0,159.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
