custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
4505681,-85.999664,40.046951,711566931,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505685,-86.010862,39.961857,1291642763,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505709,-86.024634,39.928703,1241330704,1,10.0,530.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505726,-86.015255,40.047033,1278330171,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505729,-86.117024,40.002528,1278193635,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505768,-85.999364,40.024176,1278360695,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505773,-86.026536,39.929421,1278247687,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505775,-86.011034,39.959056,739556207,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505792,-86.027181,40.050328,1278367097,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505796,-86.031378,39.952541,1278243126,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505797,-86.066917,39.881302,1050275165,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505800,-86.055446,39.902917,1279098244,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505816,-86.00503,39.999924,1269291113,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505819,-86.017876,39.937505,1291644810,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505835,-86.012913,40.045016,1297408204,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505839,-86.010338,39.957942,1278445315,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505844,-86.043342,39.886659,1279061081,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505859,-86.029802,39.929637,1278237124,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505870,-85.997848,40.036185,1240313657,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505873,-86.121879,40.004301,775199335,2,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505874,-86.12191,40.005845,775199337,1,10.0,530.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505875,-86.122474,40.007223,1370615473,2,12.0,636.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505876,-86.119975,40.005628,775199345,7,56.0,2968.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505878,-86.063363,39.927253,19974530,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505883,-86.141524,39.871987,839141152,1,2.0,106.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505886,-86.085689,39.834182,1279077994,1,10.0,530.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505888,-85.91989,39.912097,915257786,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505898,-86.008734,40.012613,1278306677,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505902,-86.104554,40.02084,1220032980,3,24.0,1272.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505904,-86.013397,39.950337,1297387166,2,16.0,848.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505906,-86.081379,39.903556,1196912228,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505911,-86.045928,39.915487,19500288,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505913,-86.071698,39.851302,1296641024,3,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505925,-86.067398,39.880973,1050275157,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505926,-86.064987,39.904742,1051471019,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505928,-86.114141,39.909461,1278945083,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505930,-86.047302,39.897978,1197044991,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505931,-86.05077,39.909888,19501069,11,88.0,4664.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505935,-86.043497,39.855881,1197313093,1,18.0,954.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505961,-86.05476,39.906243,1279163707,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505968,-86.017528,39.854485,1279213321,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505987,-86.075082,39.914643,1197848596,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505993,-86.067021,39.841699,1371699918,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505994,-85.964936,39.890886,1296688601,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505997,-86.031281,39.832222,1279180623,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
